Country_Region,Province_State,Confirmed,Recovered,Active,Deaths,Date
United States,Kansas,1,0,1,0,3/8/2020
United States,Missouri,1,0,1,0,3/8/2020
United States,Kansas,1,0,1,0,3/9/2020
United States,Missouri,1,0,1,0,3/9/2020
United States,Kansas,1,0,1,0,3/10/2020
United States,Missouri,1,0,1,0,3/10/2020
United States,Kansas,1,0,1,0,3/11/2020
United States,Missouri,1,0,1,0,3/11/2020
United States,Kansas,1,0,1,0,3/12/2020
United States,Missouri,1,0,1,0,3/12/2020
United States,Kansas,5,0,4,1,3/13/2020
United States,Missouri,2,0,2,0,3/13/2020
United States,Kansas,8,0,7,1,3/14/2020
United States,Missouri,4,0,4,0,3/14/2020
United States,Kansas,8,0,7,1,3/15/2020
United States,Missouri,5,0,5,0,3/15/2020
United States,Kansas,11,0,10,1,3/16/2020
United States,Missouri,6,0,6,0,3/16/2020
United States,Kansas,18,0,17,1,3/17/2020
United States,Missouri,11,0,11,0,3/17/2020
United States,Kansas,18,0,17,1,3/18/2020
United States,Missouri,18,0,18,0,3/18/2020
United States,Kansas,34,0,33,1,3/19/2020
United States,Missouri,31,0,30,1,3/19/2020
United States,Kansas,44,0,43,1,3/20/2020
United States,Missouri,53,0,51,2,3/20/2020
United States,Kansas,57,0,55,2,3/21/2020
United States,Missouri,74,0,71,3,3/21/2020
United States,Kansas,65,0,63,2,3/22/2020
United States,Missouri,87,0,84,3,3/22/2020
United States,Kansas,84,0,82,2,3/23/2020
United States,Missouri,187,0,183,4,3/23/2020
United States,Kansas,100,0,98,2,3/24/2020
United States,Missouri,257,0,250,7,3/24/2020
United States,Kansas,134,0,131,3,3/25/2020
United States,Missouri,354,0,346,8,3/25/2020
United States,Kansas,172,0,169,3,3/26/2020
United States,Missouri,520,0,511,9,3/26/2020
United States,Kansas,206,0,202,4,3/27/2020
United States,Missouri,666,0,657,9,3/27/2020
United States,Kansas,266,0,262,4,3/28/2020
United States,Missouri,836,0,826,10,3/28/2020
United States,Kansas,330,0,323,7,3/29/2020
United States,Missouri,915,0,902,13,3/29/2020
United States,Kansas,372,0,364,8,3/30/2020
United States,Missouri,1051,0,1038,13,3/30/2020
United States,Kansas,434,0,425,9,3/31/2020
United States,Missouri,1357,0,1342,15,3/31/2020
United States,Kansas,485,0,475,10,4/1/2020
United States,Missouri,1613,0,1595,18,4/1/2020
United States,Kansas,553,0,541,12,4/2/2020
United States,Missouri,1857,0,1835,22,4/2/2020
United States,Kansas,629,0,611,18,4/3/2020
United States,Missouri,1864,0,1839,25,4/3/2020
United States,Kansas,698,0,677,21,4/4/2020
United States,Missouri,2310,0,2277,33,4/4/2020
United States,Kansas,751,0,729,22,4/5/2020
United States,Missouri,2347,0,2303,44,4/5/2020
United States,Kansas,849,0,824,25,4/6/2020
United States,Missouri,2736,0,2689,47,4/6/2020
United States,Kansas,912,0,883,29,4/7/2020
United States,Missouri,3130,0,3065,65,4/7/2020
United States,Kansas,1046,0,1012,34,4/8/2020
United States,Missouri,3209,0,3123,86,4/8/2020
United States,Kansas,1116,0,1074,42,4/9/2020
United States,Missouri,3432,0,3339,93,4/9/2020
